Feature	Gain	Cover	Frequency
vmr_Master_mlimitecompra	0.00473571119415768	0.00499730830170406	0.00600953065741798
Master_mfinanciacion_limite	0.00471052505929894	0.00404989870493534	0.00633027393590774
Visa_mpagominimo	0.0046932563598896	0.00325802261848388	0.00527992781513908
Master_mfinanciacion_limite_lag1	0.00467375946431368	0.00366344221302522	0.00619986183366465
mtransferencias_recibidas	0.00466308688317292	0.00460057859146122	0.00456794822992006
Visa_mconsumototal_delta1	0.00461856903973991	0.00384168809172087	0.00652412976356638
Visa_mconsumospesos_delta1	0.00457964193943795	0.003831064744073	0.00691889072170762
mcomisiones_delta1	0.00457783772600133	0.00405392761756826	0.00578042831563958
mcuenta_corriente_delta1	0.00454884098544549	0.00541341849231105	0.00336604209843647
mcomisiones_otras_delta1	0.00450971235594879	0.0038690551539776	0.0056500162133965
mrentabilidad_delta1	0.00450484182561274	0.004917722890608	0.00566059016763242
chomebanking_transacciones	0.00445396134630511	0.00564097191916627	0.00531869898067081
mtarjeta_visa_consumo	0.00441328472357169	0.00306688273552224	0.00230159737201991
vmr_mpagominimo	0.0043965895757418	0.00362227638419724	0.00514246641007205
Master_status	0.00438321070864013	0.00109421298787842	0.000384187003905314
Visa_cconsumos_lag1	0.00433267492888848	0.00434456976232647	0.00528697711796303
mactivos_margen	0.00429533927910831	0.00665615993113604	0.00362686630292264
Master_mlimitecompra	0.00423801674908175	0.00386118375996893	0.00562886830492464
Master_mlimitecompra_lag1	0.0042273631646896	0.00349325159140974	0.00559714644221686
vmr_Master_mlimitecompra_lag1	0.00419045617121358	0.00434928038558197	0.00535042084337859
mtarjeta_visa_descuentos	0.00411138930314724	0.00295517474322345	0.00744053913067998
cliente_antiguedad	0.00401295529502617	0.00425829689082284	0.00500148035359303
cliente_antiguedad_lag1	0.00399823104362654	0.00393270449730397	0.00479705057169846
mtarjeta_visa_descuentos_delta1	0.00398886184352454	0.0025249398166991	0.00749693355327158
